sample_idx,start,end,value,type
52079,177.0,186.0,Stefanija,PERSON_NAME
52079,243.0,261.0,"augustus 23e, 1995",DATE_OF_BIRTH
52079,325.0,334.0,479151095,US_SOCIAL_SECURITY_NUMBER
41552,180.0,186.0,D6K3IU,PERSON_NAME
43835,24.0,43.0,21lendi@hotmail.com,EMAIL_ADDRESS
43835,132.0,151.0,21lendi@hotmail.com,EMAIL_ADDRESS
43835,45.0,54.0,255909650,PHONE_NUMBER
43835,153.0,162.0,255909650,PHONE_NUMBER
43835,56.0,66.0,KRI20II6NJ,CREDIT_CARD_NUMBER
43835,164.0,174.0,KRI20II6NJ,CREDIT_CARD_NUMBER
43835,72.0,89.0,00310.93.007 0129,PHONE_NUMBER
43835,180.0,197.0,00310.93.007 0129,PHONE_NUMBER
43835,254.0,263.0,09IH64791,CREDIT_CARD_NUMBER
43835,281.0,290.0,013937562,PHONE_NUMBER
43835,292.0,294.0,LU,CREDIT_CARD_NUMBER
43835,328.0,337.0,205935813,PHONE_NUMBER
43835,339.0,341.0,FX,CREDIT_CARD_NUMBER
43835,373.0,382.0,369433269,PHONE_NUMBER
42340,109.0,118.0,[Ruiyuan],PERSON_NAME
42340,119.0,133.0,[Isabel-Maria],PERSON_NAME
42340,364.0,367.0,[Dw],PERSON_NAME
47345,77.0,87.0,CLZTR0H1K9,RIVERSIDE_DRIVER_LICENSE_NUMBER
47345,213.0,221.0,BMREF2ER,RIVERSIDE_DRIVER_LICENSE_NUMBER
47345,365.0,374.0,NWMH7W6BT,RIVERSIDE_DRIVER_LICENSE_NUMBER
47345,14.0,18.0,4522,POSTCODE
47345,329.0,333.0,4671,POSTCODE
47345,177.0,181.0,8255,POSTCODE
47345,460.0,464.0,1391,POSTCODE
45002,53.0,59.0,Ayeche,PERSON_NAME
45002,98.0,104.0,Ayeche,PERSON_NAME
45002,126.0,129.0,PJJ,ID_CARD_NUMBER
45002,152.0,162.0,IQTJJ6FZI6,RIDER_LICENSE_NUMBER
45002,184.0,186.0,UV,PASSPORT_NUMBER
45002,345.0,359.0,55.118.247.235,IP_ADDRESS
45002,260.0,269.0,Werkendam,LOCATION
45002,270.0,279.0,Werkendam,LOCATION
45002,325.0,329.0,4251,POSTCODE
45002,198.0,200.0,NL,COUNTRY
43125,447.0,456.0,130534900,BURGERSERVICE_NUMMER
43125,408.0,418.0,05/03/1996,DATE_OF_BIRTH
39230,350.0,354.0,07:3,DATE_OF_BIRTH
46736,30.0,41.0,regazzoni97,PERSON_NAME
46736,117.0,128.0,regazzoni97,PERSON_NAME
46736,373.0,384.0,regazzoni97,PERSON_NAME
46736,79.0,81.0,UW,PASSPORT_NUMBER
46736,422.0,441.0,13sathiyavani.mahho,PERSON_NAME
40942,330.0,340.0,16/09/1935,DATE_OF_BIRTH
40942,47.0,51.0,1980,DATE_OF_BIRTH
47376,16.0,25.0,454715962,US_SOCIAL_SECURITY_NUMBER
47376,95.0,104.0,861033370,PHONE_NUMBER
47376,172.0,181.0,657829796,PHONE_NUMBER
47376,276.0,285.0,581495275,PHONE_NUMBER
47376,357.0,377.0,2-73-06-57119-281-88,CREDIT_CARD_NUMBER
38448,101.0,109.0,Zerabruk,PERSON_NAME
38448,154.0,160.0,Leibig,PERSON_NAME
38448,219.0,221.0,NM,PASSPORT_NUMBER
38448,309.0,314.0,Fojan,PERSON_NAME
38448,359.0,371.0,Schmollinger,PERSON_NAME
38448,416.0,426.0,Ottersberg,LOCATION
39992,418.0,424.0,196919,US_SOCIAL_SECURITY_NUMBER
41980,213.0,227.0,"juli 11e, 1995",DATE_OF_BIRTH
41980,333.0,343.0,Q75U2C7LDN,RIVER_ADDRESS
41980,359.0,372.0,68.19.239.142,IP_ADDRESS
41980,313.0,316.0,GCH,ID_CARD
49857,13.0,30.0,0018-056-154 5155,PHONE_NUMBER
49857,153.0,167.0,+77.90205.7105,PHONE_NUMBER
49857,268.0,285.0,+574 436 826 8709,PHONE_NUMBER
49857,415.0,432.0,+173.645.705 0509,PHONE_NUMBER
41358,19.0,28.0,964709108,US_SOCIAL_SECURITY_NUMBER
41358,101.0,110.0,679664887,US_SOCIAL_SECURITY_NUMBER
41358,183.0,192.0,482829205,US_SOCIAL_SECURITY_NUMBER
41358,265.0,274.0,266942090,US_SOCIAL_SECURITY_NUMBER
41358,347.0,368.0,Jak-Nan-16-I-31-3-QBE,US_SOCIAL_SECURITY_NUMBER
41358,448.0,457.0,447984550,US_SOCIAL_SECURITY_NUMBER
41843,169.0,175.0,Rafiou,PERSON_NAME
41843,192.0,205.0,Vimalananthan,PERSON_NAME
41843,31.0,42.0,Netherlands,LOCATION
41843,72.0,83.0,Netherlands,LOCATION
41843,143.0,154.0,Netherlands,LOCATION
41843,178.0,189.0,Netherlands,LOCATION
41843,208.0,219.0,Netherlands,LOCATION
41843,227.0,238.0,Netherlands,LOCATION
35119,95.0,100.0,Sutka,PERSON_NAME
35119,233.0,246.0,37concha.siep,USERNAME
35119,262.0,268.0,Concha,PERSON_NAME
35119,335.0,341.0,Aljosa,PERSON_NAME
35119,345.0,350.0,Ylian,PERSON_NAME
35119,389.0,403.0,gztfycnknkmmwd,USERNAME
54019,60.0,92.0,j.vdberg@healthcarenederland.com,EMAIL_ADDRESS
54019,13.0,38.0,Dr. Johannes van der Berg,PERSON_NAME
41341,52.0,68.0,28felipe@aol.com,EMAIL_ADDRESS
41341,215.0,230.0,R1939@yahoo.com,EMAIL_ADDRESS
41341,373.0,388.0,P15@outlook.com,EMAIL_ADDRESS
47341,112.0,116.0,1zQ2,PHONE_NUMBER
47341,136.0,146.0,2616246789,PHONE_NUMBER
47341,266.0,287.0,Ruo Abb 24 H 67 3 PWX,SOCIAL_SECURITY_NUMBER
47341,300.0,315.0,244.157.169.179,IP_ADDRESS
47341,362.0,394.0,H4.FRA.90WO8617.2.510614.GRIGORE,RIVER_NUMBER
47341,407.0,413.0,France,LOCATION
47341,423.0,446.0,Straat Route de Lagarde,STREET_ADDRESS
48021,159.0,162.0,Min,PERSON_NAME
48021,183.0,193.0,10/06/1999,DATE_OF_BIRTH
48021,209.0,218.0,P5632293F,ID_KAART
48021,240.0,249.0,ZGH098025,PASPOORTNUMMER
48021,271.0,284.0,0102-22081418,PHONE_NUMBER
48021,302.0,313.0,D?n8h*3|dLF,WACHTWOORD
48021,400.0,403.0,Grv,PERSON_NAME
49820,13.0,20.0,Waranya,PERSON_NAME
49820,65.0,74.0,Liv-Marie,PERSON_NAME
49820,93.0,103.0,Albachiara,PERSON_NAME
49820,148.0,152.0,Raja,PERSON_NAME
49820,197.0,201.0,Sada,PERSON_NAME
49820,252.0,259.0,Namgyel,PERSON_NAME
49820,278.0,294.0,Nicolae-Cristian,PERSON_NAME
43525,12.0,29.0,+319.575-653 6560,PHONE_NUMBER
43525,66.0,81.0,+31.78-413-4517,PHONE_NUMBER
43525,178.0,193.0,+09-45.647-4391,PHONE_NUMBER
43525,230.0,243.0,+4304852 2156,PHONE_NUMBER
43525,284.0,300.0,0131.20 192-2451,PHONE_NUMBER
43525,366.0,380.0,0148 696381783,PHONE_NUMBER
31335,218.0,228.0,03/03/1998,DATE_OF_BIRTH
31335,234.0,249.0,E-B03@gmail.com,EMAIL_ADDRESS
31335,255.0,266.0,404-07-6210,PHONE_NUMBER
31335,272.0,285.0,ID-6260949989,US_SOCIAL_SECURITY_NUMBER
31335,291.0,306.0,+83 61 181.3216,PHONE_NUMBER
31335,132.0,171.0,84da:59d4:4538:4d52:993b:4b60:bbbf:f34c,LOCATION
52850,218.0,224.0,Vanyek,PERSON_NAME
52850,187.0,189.0,TI,Passport_Number
40841,23.0,32.0,123634629,PHONE_NUMBER
40841,87.0,96.0,665744117,PHONE_NUMBER
40841,181.0,190.0,205709211,PHONE_NUMBER
40841,252.0,261.0,513069995,PHONE_NUMBER
40841,314.0,328.0,21e april 1967,DATE_OF_BIRTH
51787,253.0,269.0,756.6092.9408.23,US_SOCIAL_SECURITY_NUMBER
51787,219.0,229.0,28/12/1968,DATE_OF_BIRTH
51787,193.0,200.0,Caruolo,PERSON_NAME
51787,318.0,326.0,U5649628,PASSPORT_NUMBER
40267,3.0,17.0,+82-48726-7171,PHONE_NUMBER
40267,33.0,45.0,38.39.101.25,LOCATION
46805,23.0,32.0,608169408,US_SOCIAL_SECURITY_NUMBER
46805,64.0,77.0,+31-970415908,PHONE_NUMBER
46805,219.0,228.0,Shitikova,PERSON_NAME
44603,99.0,109.0,18/06/1960,DATE_OF_BIRTH
44603,205.0,213.0,maart/90,DATE_OF_BIRTH
44603,304.0,314.0,02/08/1957,DATE_OF_BIRTH
44603,399.0,416.0,"oktober 31e, 1973",DATE_OF_BIRTH
36705,277.0,290.0,armida.fregja,EMAIL_ADDRESS
36705,304.0,317.0,armida.fregja,EMAIL_ADDRESS
36705,304.0,329.0,armida.fregja@hotmail.com,EMAIL_ADDRESS
32961,263.0,272.0,32BV67680,CREDIT_CARD_NUMBER
32961,347.0,366.0,5559785240431526356,CREDIT_CARD_NUMBER
39860,17.0,46.0,bertan.paskuwal1961@yahoo.com,EMAIL_ADDRESS
39860,72.0,75.0,BNW,US_SOCIAL_SECURITY_NUMBER
39860,102.0,127.0,Bar Brianne Frankenreiter,PERSON_NAME
39860,169.0,198.0,1frankenreiter@protonmail.com,EMAIL_ADDRESS
39860,241.0,266.0,"14:24, 20e september 2015",DATE_OF_BIRTH
39860,280.0,289.0,Nederland,LOCATION
49382,76.0,90.0,Esaïe Baksteen,PERSON_NAME
49382,114.0,146.0,"Amstelveen, 1181 MJ, Netherlands",LOCATION
49382,177.0,191.0,"juni 30e, 2062",DATE_OF_BIRTH
46053,94.0,108.0,49.223.235.142,IP_ADDRESS
46053,224.0,239.0,180.149.127.136,IP_ADDRESS
48572,16.0,66.0,"482, Vlietweg, Kaag en Braassem Hoogmade, ZH, 2355",STREET_ADDRESS
48572,82.0,120.0,4a6d:5cd1:25b:f67a:79a9:98b5:b164:f6d6,IP_ADDRESS
48572,138.0,150.0,n4t32_|;&=V5,PASSWORD
48572,374.0,393.0,Nijmegen Hunnerberg,LOCATION
52432,100.0,114.0,L@tutanota.com,EMAIL_ADDRESS
52432,180.0,195.0,003173-905 9655,PHONE_NUMBER
52432,145.0,153.0,EBHG0AU0,CREDIT_CARD_NUMBER
52432,39.0,49.0,24/10/1995,DATE_OF_BIRTH
49419,290.0,300.0,02/05/1958,DATE_OF_BIRTH
49419,171.0,195.0,Health Check-up Reminder,PERSON_NAME
51114,0.0,18.0,bdgh906436@aol.com,EMAIL_ADDRESS
51114,100.0,113.0,+7147857-1491,PHONE_NUMBER
51114,121.0,135.0,145.163.33.127,LOCATION
51114,277.0,295.0,L1962@tutanota.com,EMAIL_ADDRESS
51114,368.0,380.0,035 594 5749,PHONE_NUMBER
48267,31.0,40.0,997345815,PHONE_NUMBER
48267,111.0,120.0,697986252,PHONE_NUMBER
48267,195.0,207.0,497609630996,PHONE_NUMBER
48267,278.0,287.0,593529931,PHONE_NUMBER
52543,56.0,69.0,13R@yahoo.com,EMAIL_ADDRESS
52543,136.0,149.0,13R@yahoo.com,EMAIL_ADDRESS
52543,398.0,411.0,13R@yahoo.com,EMAIL_ADDRESS
52543,119.0,149.0,42cyriaque.macháková@yahoo.com,EMAIL_ADDRESS
52543,200.0,211.0,AAB@aol.com,EMAIL_ADDRESS
52543,287.0,317.0,dedekfgtejmvh35162@outlook.com,EMAIL_ADDRESS
52543,395.0,411.0,1998MB@yahoo.com,EMAIL_ADDRESS
49566,1.0,18.0,larsen.karadurmus,PERSON_NAME
49566,24.0,30.0,sadhbh,PERSON_NAME
49566,52.0,57.0,Naara,PERSON_NAME
49566,88.0,92.0,Nesa,PERSON_NAME
49566,94.0,98.0,sdwi,UNKNOWN
49566,80.0,85.0,Nijaz,PERSON_NAME
49566,133.0,148.0,48nirosan.bolli,PERSON_NAME
49566,151.0,157.0,Idrees,PERSON_NAME
49566,70.0,77.0,Nih1952,UNKNOWN
49566,169.0,186.0,Hsjibzsejufh78078,UNKNOWN
56787,60.0,72.0,sbfdvbt78117,PERSON_NAME
56787,137.0,156.0,17regan.abdelkhalek,PERSON_NAME
56787,216.0,232.0,ooutbdphzlcq2204,PERSON_NAME
56787,366.0,377.0,dominique18,PERSON_NAME
45466,268.0,288.0,rachmuth@outlook.com,EMAIL_ADDRESS
45466,313.0,323.0,1ZDU1SGQQS,RIVERWJSNUMMER
45466,72.0,74.0,NL,LOCATION
45466,337.0,339.0,NL,LOCATION
45466,90.0,93.0,569,LOCATION
45466,109.0,121.0,Heesterseweg,STREET_ADDRESS
45466,135.0,148.0,Geffen Geffen,LOCATION
45466,167.0,169.0,NB,LOCATION
45466,187.0,191.0,5386,LOCATION
45466,247.0,252.0,Druga,PERSON_NAME
45466,355.0,358.0,489,LOCATION
34427,90.0,95.0,Eyasu,PERSON_NAME
42738,203.0,212.0,F@aol.com,EMAIL_ADDRESS
42738,268.0,274.0,España,LOCATION
42738,360.0,368.0,Albacete,LOCATION
42738,413.0,421.0,Albacete,LOCATION
54810,255.0,264.0,693702655,US_SOCIAL_SECURITY_NUMBER
54810,271.0,286.0,+31 81-357-1530,PHONE_NUMBER
54835,320.0,325.0,14272,US_SOCIAL_SECURITY_NUMBER
54835,275.0,289.0,"juni 21e, 1966",DATE_OF_BIRTH
52746,240.0,263.0,[Huidige datum en tijd],DATE_OF_BIRTH
50295,276.0,300.0,bmatkps1830@tutanota.com,EMAIL_ADDRESS
52275,122.0,135.0,9e april 1995,DATE_OF_BIRTH
52275,194.0,213.0,1966-07-02T00:00:00,DATE_OF_BIRTH
52275,278.0,288.0,19/02/2003,DATE_OF_BIRTH
52275,347.0,357.0,19/09/1997,DATE_OF_BIRTH
38069,43.0,72.0,femezntspufowz83233@yahoo.com,EMAIL_ADDRESS
38069,99.0,108.0,995345792,US_SOCIAL_SECURITY_NUMBER
38069,375.0,388.0,"juli 5e, 2058",DATE_OF_BIRTH
50726,99.0,102.0,Man,PERSON_NAME
50726,117.0,120.0,Man,PERSON_NAME
50726,229.0,232.0,AQO,US_SOCIAL_SECURITY_NUMBER
50726,157.0,174.0,"januari 21e, 1969",DATE_OF_BIRTH
50726,243.0,245.0,NL,LOCATION
37558,204.0,214.0,15/08/1954,DATE_OF_BIRTH
37558,233.0,259.0,gebremedhin.sengthavisay15,PERSON_NAME
37558,286.0,289.0,ZJQ,US_SOCIAL_SECURITY_NUMBER
37558,308.0,324.0,0131-38.833.1202,PHONE_NUMBER
37558,333.0,335.0,NL,LOCATION
37558,350.0,353.0,118,STREET_ADDRESS
37325,264.0,277.0,Anja de Vries,PERSON_NAME
37325,306.0,335.0,Law Van der Linden & Partners,ORGANIZATION
30534,120.0,134.0,James Ocominet,PERSON_NAME
30534,181.0,194.0,James Ocominet,PERSON_NAME
30534,155.0,165.0,04/12/1990,DATE_OF_BIRTH
30534,181.0,194.0,jamesocominet,USERNAME
30534,220.0,229.0,317786369,US_SOCIAL_SECURITY_NUMBER
30534,253.0,261.0,4KQEGWEF,DRIVER'S LICENSE
30534,277.0,279.0,AN,PASSPORT
30534,297.0,309.0,250.88.17.14,IP ADDRESS
30534,334.0,339.0,Zb&t4,SECURITY PASSWORD
34877,60.0,84.0,vtawmv39761@tutanota.com,EMAIL_ADDRESS
34877,107.0,116.0,065700521,PHONE_NUMBER
34877,142.0,145.0,VVE,US_SOCIAL_SECURITY_NUMBER
34877,164.0,176.0,BQGI3T4KN7CH,CREDIT_CARD_NUMBER
38797,174.0,193.0,1946ekansh.currenti,USER_ID
38797,216.0,224.0,Currenti,PERSON_NAME
38797,295.0,305.0,10/01/1946,DATE_OF_BIRTH
36388,380.0,392.0,387.586.9165,US_SOCIAL_SECURITY_NUMBER
36388,297.0,303.0,Giglia,PERSON_NAME
36388,433.0,435.0,GB,LOCATION
36388,446.0,449.0,225,LOCATION
51374,71.0,74.0,Adm,PERSON_NAME
51374,96.0,106.0,28/08/1976,DATE_OF_BIRTH
51374,129.0,149.0,mnafeoawyavuzjp45853,EMAIL_ADDRESS
51374,164.0,184.0,mnafeoawyavuzjp45853,EMAIL_ADDRESS
51374,164.0,196.0,mnafeoawyavuzjp45853@hotmail.com,EMAIL_ADDRESS
51374,221.0,224.0,ETG,IDENTIFICATION_NUMBER
51374,242.0,251.0,0T7HLO4OV,LICENSE_NUMBER
51374,268.0,270.0,WZ,PASSPORT_NUMBER
51374,287.0,301.0,94.233.126.214,IP_ADDRESS
50490,21.0,36.0,N2.20.F75TFI7.4,CREDIT_CARD_NUMBER
50490,57.0,81.0,U4 FRA 44VP8205 9 030521,US_SOCIAL_SECURITY_NUMBER
50490,82.0,87.0,FAYAZ,PERSON_NAME
52679,23.0,33.0,01/05/1981,DATE_OF_BIRTH
52679,56.0,64.0,VZHI68KH,PERSON_NAME
52679,76.0,85.0,Nederland,LOCATION
52679,188.0,192.0,3771,POSTCODE
52679,234.0,272.0,5f34:5978:8069:acdc:f4a5:872:7180:b877,IP
38249,104.0,126.0,edonis.macic@gmail.com,EMAIL_ADDRESS
38249,142.0,145.0,RVG,ID_CARD
38249,189.0,191.0,HI,PASSPORT
38249,219.0,233.0,G1603476239852,ID_CARD
38249,328.0,334.0,8AMOVD,DRIVER_LICENSE
38249,308.0,311.0,PHF,ID_CARD
38249,362.0,365.0,DGY,ID_CARD
31876,59.0,66.0,G2NWGAX,DriverLicense
31876,109.0,120.0,hc{LQ8C/6mu,Passport
31876,467.0,488.0,maylongatti@gmail.com,Email_Address
31876,427.0,437.0,05/05/1956,DATE_OF_BIRTH
31876,310.0,318.0,Longatti,PERSON_NAME
31876,470.0,478.0,Longatti,PERSON_NAME
36685,283.0,296.0,jeffray.mader,PERSON_NAME
36685,312.0,321.0,KIDBB1OB4,RIVER_LICENSE_NUMBER
36685,336.0,338.0,YA,PASSPORT_NUMBER
36685,353.0,361.0,yitopl18,PERSON_NAME
36685,377.0,383.0,MUDVNA,RIVER_LICENSE_NUMBER
30613,235.0,254.0,darlikina@gmail.com,EMAIL_ADDRESS
30613,44.0,50.0,Darlin,PERSON_NAME
30613,322.0,328.0,Darlin,PERSON_NAME
30613,358.0,364.0,Joschi,PERSON_NAME
30613,51.0,56.0,Kinap,PERSON_NAME
30613,386.0,391.0,Kinap,PERSON_NAME
30613,420.0,425.0,Tanis,PERSON_NAME
30613,160.0,169.0,Nederland,LOCATION
30613,445.0,454.0,Nederland,LOCATION
56873,48.0,58.0,22/06/1942,DATE_OF_BIRTH
56873,227.0,237.0,22/06/1942,DATE_OF_BIRTH
56873,60.0,77.0,61aster.jakovljev,PERSON_NAME
56873,79.0,96.0,61aster.jakovljev,PERSON_NAME
56873,239.0,256.0,61aster.jakovljev,PERSON_NAME
56873,258.0,275.0,61aster.jakovljev,PERSON_NAME
56873,79.0,106.0,61aster.jakovljev@yahoo.com,EMAIL_ADDRESS
56873,258.0,285.0,61aster.jakovljev@yahoo.com,EMAIL_ADDRESS
56873,112.0,124.0,05574-364909,PHONE_NUMBER
56873,291.0,303.0,05574-364909,PHONE_NUMBER
56873,135.0,196.0,"Dr. C.W. Ittmannpad, Amsterdam Rijnbuurt, Noord-Holland, 1079",STREET_ADDRESS
56873,314.0,375.0,"Dr. C.W. Ittmannpad, Amsterdam Rijnbuurt, Noord-Holland, 1079",STREET_ADDRESS
20164,376.0,384.0,3456ABCD,CLAIM_NUMBER
20164,425.0,449.0,"Southeast 89th Street, O",LOCATION
7747,35.0,54.0,STOJA 002181 ST 866,DRIVER_LICENSE
7747,78.0,87.0,881349019,US_SOCIAL_SECURITY_NUMBER
7747,117.0,130.0,053.5428 5559,PHONE_NUMBER
25521,145.0,150.0,BOD_G,PERSON_NAME
25521,156.0,161.0,BOD_G,PERSON_NAME
25521,239.0,244.0,BOD_G,PERSON_NAME
25521,249.0,254.0,BOD_G,PERSON_NAME
25521,345.0,350.0,BOD_G,PERSON_NAME
25521,352.0,357.0,BOD_G,PERSON_NAME
25521,363.0,368.0,BOD_G,PERSON_NAME
25521,156.0,161.0,BOD_H,PERSON_NAME
25521,239.0,244.0,BOD_H,PERSON_NAME
25521,249.0,254.0,BOD_H,PERSON_NAME
25521,345.0,350.0,BOD_H,PERSON_NAME
25521,352.0,357.0,BOD_H,PERSON_NAME
25521,363.0,368.0,BOD_H,PERSON_NAME
25521,239.0,244.0,BOD_I,PERSON_NAME
25521,249.0,254.0,BOD_I,PERSON_NAME
25521,345.0,350.0,BOD_I,PERSON_NAME
25521,352.0,357.0,BOD_I,PERSON_NAME
25521,363.0,368.0,BOD_I,PERSON_NAME
25521,249.0,254.0,BOD_J,PERSON_NAME
25521,345.0,350.0,BOD_J,PERSON_NAME
25521,352.0,357.0,BOD_J,PERSON_NAME
25521,363.0,368.0,BOD_J,PERSON_NAME
25521,345.0,350.0,BOD_K,PERSON_NAME
25521,352.0,357.0,BOD_K,PERSON_NAME
25521,363.0,368.0,BOD_K,PERSON_NAME
25521,352.0,357.0,BOD_L,PERSON_NAME
25521,363.0,368.0,BOD_L,PERSON_NAME
25521,363.0,368.0,BOD_M,PERSON_NAME
8101,104.0,114.0,29/06/1967,DATE_OF_BIRTH
8101,168.0,194.0,muafakmealing@tutanota.com,EMAIL_ADDRESS
8101,220.0,230.0,6816974650,US_SOCIAL_SECURITY_NUMBER
8101,251.0,260.0,006624686,Passport
29478,12.0,22.0,0922752031,IDCARD
29478,194.0,203.0,487635169,SOCIALNUMBER
29478,215.0,229.0,49086807547853,IDCARD
29478,411.0,422.0,188-70-0146,SOCIALNUMBER
19635,116.0,121.0,45873,POSTAL_CODE
19635,31.0,51.0,personal information,PERSON_NAME
19635,207.0,227.0,personal information,PERSON_NAME
12081,42.0,54.0,142.430.9883,US_SOCIAL_SECURITY_NUMBER
12081,119.0,131.0,648-170-9801,US_SOCIAL_SECURITY_NUMBER
12081,198.0,210.0,809 671 8186,US_SOCIAL_SECURITY_NUMBER
12081,275.0,291.0,756-3051-8495-65,US_SOCIAL_SECURITY_NUMBER
12081,352.0,368.0,756.0283.8278.42,US_SOCIAL_SECURITY_NUMBER
19409,53.0,67.0,"July 7th, 1937",DATE_OF_BIRTH
19409,82.0,97.0,wnpcckaarwdbw94,PERSON_NAME
19409,118.0,127.0,217663243,CREDIT_CARD_NUMBER
19409,141.0,143.0,US,COUNTRY
19409,288.0,295.0,Bldg 70,SECONDARY_ADDRESS
19409,310.0,317.0,ro<@El4,CREDIT_CARD_NUMBER
19409,334.0,340.0,Nicola,PERSON_NAME
19409,357.0,363.0,Grenon,PERSON_NAME
19409,380.0,387.0,El Alej,PERSON_NAME
25796,130.0,137.0,Esquire,PERSON_NAME
25796,159.0,172.0,"May 7th, 1984",DATE_OF_BIRTH
25796,195.0,207.0,Q03JN6780563,DRIVER_LICENSE
25796,225.0,237.0,064 413-3163,PHONE_NUMBER
23167,3.0,16.0,United States,LOCATION
23167,264.0,277.0,United States,LOCATION
23167,217.0,239.0,estateplan@lawfirm.com,EMAIL_ADDRESS
23167,246.0,257.0,+1 555-1234,PHONE_NUMBER
23167,416.0,427.0,November/87,DATE_OF_BIRTH
12493,233.0,245.0,647.870.1780,PHONE_NUMBER
12493,251.0,260.0,825090428,US_SOCIAL_SECURITY_NUMBER
17104,30.0,47.0,00397 11.981-3751,PHONE_NUMBER
17104,161.0,176.0,+13 45.032.1440,PHONE_NUMBER
17104,287.0,305.0,01940.903-190-4727,PHONE_NUMBER
