start,end,value,type,sample_idx
139.0,150.0,0K3189Y23I0,CREDIT_CARD_NUMBER,40485
156.0,165.0,Nederland,LOCATION,40485
180.0,189.0,Schansweg,STREET_ADDRESS,40485
195.0,206.0,Haaksbergen,LOCATION,40485
220.0,227.0,7481 TK,STREET_ADDRESS,40485
271.0,283.0,018 744-4782,PHONE_NUMBER,43502
472.0,486.0,Folasade Viali,PERSON_NAME,32312
96.0,125.0,uw geregistreerde e-mailadres,EMAIL_ADDRESS,53264
247.0,281.0,het bij ons bekende telefoonnummer,PHONE_NUMBER,53264
64.0,99.0,2003zhenfeng.eldalgamouni@yahoo.com,EMAIL_ADDRESS,38922
183.0,209.0,peppo.obadar46@hotmail.com,EMAIL_ADDRESS,38922
292.0,317.0,watiyfsz30@protonmail.com,EMAIL_ADDRESS,38922
400.0,427.0,qexoskzftgtzyz89371@aol.com,EMAIL_ADDRESS,38922
152.0,169.0,30e december 2015,DATE_OF_BIRTH,38922
261.0,278.0,30e december 2015,DATE_OF_BIRTH,38922
369.0,386.0,30e december 2015,DATE_OF_BIRTH,38922
26.0,36.0,28/08/1972,DATE_OF_BIRTH,51986
79.0,81.0,Gr,PERSON_NAME,51986
103.0,118.0,"maart 18e, 1985",DATE_OF_BIRTH,51986
161.0,168.0,Barones,PERSON_NAME,51986
190.0,209.0,1961-09-13T00:00:00,DATE_OF_BIRTH,51986
253.0,255.0,Lt,PERSON_NAME,51986
277.0,290.0,"juni 5e, 1934",DATE_OF_BIRTH,51986
105.0,117.0,08117-379894,PHONE_NUMBER,56114
148.0,164.0,0012 88.746.2536,PHONE_NUMBER,56114
151.0,175.0,soukcraciunesc@yahoo.com,EMAIL_ADDRESS,34365
260.0,279.0,1982-03-08T00:00:00,DATE_OF_BIRTH,34365
321.0,340.0,1982-03-08T00:00:00,DATE_OF_BIRTH,34365
374.0,403.0,tkcwncakccuqbws161951@aol.com,EMAIL_ADDRESS,34365
99.0,107.0,gangneux,PERSON_NAME,58284
140.0,156.0,04AJGG@gmail.com,EMAIL_ADDRESS,58284
215.0,247.0,"126, Voldijkje, Goirle, NB, 5053",STREET_ADDRESS,58284
270.0,278.0,Dorm 568,STREET_ADDRESS,58284
243.0,248.0,Henny,PERSON_NAME,30004
48.0,60.0,Kassim Troia,PERSON_NAME,32487
81.0,91.0,23/07/1966,DATE_OF_BIRTH,32487
406.0,416.0,23/07/1966,DATE_OF_BIRTH,32487
105.0,130.0,aviral.kassim@outlook.com,EMAIL_ADDRESS,32487
157.0,177.0,2.66.07.07009.747.79,US_SOCIAL_SECURITY_NUMBER,32487
277.0,294.0,+759.624-156.2360,PHONE_NUMBER,32487
362.0,368.0,Xhemaj,PERSON_NAME,32487
406.0,416.0,23/04/1971,DATE_OF_BIRTH,32487
430.0,445.0,SX@tutanota.com,EMAIL_ADDRESS,32487
472.0,481.0,266003377,US_SOCIAL_SECURITY_NUMBER,32487
16.0,29.0,1991ashamsaie,PERSON_NAME,32384
62.0,78.0,756.0988.8585.40,US_SOCIAL_SECURITY_NUMBER,32384
96.0,104.0,J8229188,PERSON_NAME,32384
297.0,307.0,06/09/1987,DATE_OF_BIRTH,45675
351.0,360.0,Koudinova,PERSON_NAME,45675
381.0,385.0,1944,DATE_OF_BIRTH,45675
210.0,217.0,Sharany,PERSON_NAME,48191
355.0,376.0,albieraquet@yahoo.com,EMAIL_ADDRESS,48191
280.0,288.0,raquet30,PERSON_NAME,48191
360.0,368.0,raquet30,PERSON_NAME,48191
311.0,319.0,Waltraut,PERSON_NAME,36625
83.0,89.0,Gooweg,STREET_ADDRESS,36625
109.0,140.0,Noordwijkerhout Noordwijkerhout,LOCATION,36625
187.0,194.0,2211 XX,STREET_ADDRESS,36625
374.0,393.0,2022-01-22T00:00:00,DATE_OF_BIRTH,36625
304.0,314.0,02/12/2002,DATE_OF_BIRTH,55626
286.0,299.0,"[52.526, 4.9]",LOCATION,55626
177.0,186.0,Stefanija,PERSON_NAME,52079
243.0,261.0,"augustus 23e, 1995",DATE_OF_BIRTH,52079
325.0,334.0,479151095,US_SOCIAL_SECURITY_NUMBER,52079
24.0,43.0,21lendi@hotmail.com,EMAIL_ADDRESS,43835
132.0,151.0,21lendi@hotmail.com,EMAIL_ADDRESS,43835
45.0,54.0,255909650,PHONE_NUMBER,43835
153.0,162.0,255909650,PHONE_NUMBER,43835
217.0,230.0,B@outlook.com,EMAIL_ADDRESS,43835
313.0,326.0,B@outlook.com,EMAIL_ADDRESS,43835
292.0,326.0,LU...peqypfhjihyju7389@outlook.com,EMAIL_ADDRESS,43835
344.0,371.0,66cuncouillaud@tutanota.com,EMAIL_ADDRESS,43835
217.0,235.0,Min Moiseeva Cejas,PERSON_NAME,42256
334.0,349.0,+31828 680 1947,PHONE_NUMBER,42256
148.0,171.0,"Kantershof, Netherlands",LOCATION,42256
86.0,100.0,26e maart 2013,DATE_OF_BIRTH,42256
42.0,48.0,Hesham,PERSON_NAME,47189
50.0,59.0,Suttipong,PERSON_NAME,47189
219.0,225.0,Oualid,PERSON_NAME,47189
110.0,117.0,Ruiyuan,PERSON_NAME,42340
120.0,132.0,Isabel-Maria,PERSON_NAME,42340
77.0,87.0,CLZTR0H1K9,PERSON_NAME,47345
119.0,131.0,Vuursteenweg,STREET_ADDRESS,47345
138.0,149.0,Swifterbant,LOCATION,47345
157.0,166.0,Flevoland,LOCATION,47345
177.0,181.0,8255,POSTCODE,47345
213.0,221.0,BMREF2ER,PERSON_NAME,47345
260.0,269.0,Vlietdijk,STREET_ADDRESS,47345
276.0,297.0,Dinteloord Dinteloord,LOCATION,47345
305.0,318.0,Noord-Brabant,LOCATION,47345
329.0,333.0,4671,POSTCODE,47345
365.0,374.0,NWMH7W6BT,PERSON_NAME,47345
413.0,420.0,Botshol,STREET_ADDRESS,47345
427.0,434.0,Abcoude,LOCATION,47345
442.0,449.0,Utrecht,LOCATION,47345
460.0,464.0,1391,POSTCODE,47345
14.0,18.0,4522,POSTCODE,47345
83.0,97.0,DN@outlook.com,EMAIL_ADDRESS,44130
150.0,161.0,M@yahoo.com,EMAIL_ADDRESS,44130
239.0,262.0,siiljina@protonmail.com,EMAIL_ADDRESS,44130
313.0,327.0,O@tutanota.com,EMAIL_ADDRESS,44130
55.0,71.0,Docci Nebijovska,PERSON_NAME,44130
131.0,138.0,Mandela,PERSON_NAME,44130
295.0,301.0,Helmig,PERSON_NAME,44130
53.0,59.0,Ayeche,PERSON_NAME,45002
98.0,104.0,Ayeche,PERSON_NAME,45002
126.0,129.0,PJJ,PERSON_NAME,45002
152.0,162.0,IQTJJ6FZI6,PERSON_NAME,45002
184.0,186.0,UV,PERSON_NAME,45002
198.0,200.0,NL,LOCATION,45002
220.0,223.0,477,LOCATION,45002
237.0,248.0,Draepkilweg,STREET_ADDRESS,45002
260.0,279.0,Werkendam Werkendam,LOCATION,45002
296.0,309.0,Noord-Brabant,LOCATION,45002
325.0,329.0,4251,LOCATION,45002
345.0,359.0,55.118.247.235,PERSON_NAME,45002
408.0,418.0,05/03/1996,DATE_OF_BIRTH,43125
447.0,456.0,130534900,US_SOCIAL_SECURITY_NUMBER,43125
21.0,31.0,28/06/2023,DATE_OF_BIRTH,39230
30.0,41.0,regazzoni97,PERSON_NAME,46736
117.0,128.0,regazzoni97,PERSON_NAME,46736
373.0,384.0,regazzoni97,PERSON_NAME,46736
422.0,441.0,13sathiyavani.mahho,PERSON_NAME,46736
62.0,73.0,Netherlands,LOCATION,53937
48.0,58.0,18/09/2012,DATE_OF_BIRTH,53937
201.0,215.0,Davey Sumkoski,PERSON_NAME,36439
309.0,321.0,72LO8OTUTWK2,PERSON_NAME,36439
89.0,93.0,8434,LOCATION,36439
15.0,31.0,Ooststellingwerf,LOCATION,36439
54.0,63.0,Friesland,LOCATION,36439
405.0,414.0,Nederland,LOCATION,36439
129.0,142.0,210.62.117.58,PERSON_NAME,36439
347.0,349.0,UJ,PERSON_NAME,36439
9.0,19.0,Parasakthy,PERSON_NAME,37653
33.0,47.0,D0606679868029,CREDIT_CARD_NUMBER,37653
57.0,61.0,Eryn,PERSON_NAME,37653
88.0,104.0,Dragos-Alexandru,PERSON_NAME,37653
120.0,125.0,Osama,PERSON_NAME,37653
152.0,157.0,Fiola,PERSON_NAME,37653
171.0,185.0,X0906871065242,CREDIT_CARD_NUMBER,37653
195.0,201.0,Siilen,PERSON_NAME,37653
228.0,234.0,Haveen,PERSON_NAME,37653
261.0,266.0,Dicki,PERSON_NAME,37653
429.0,442.0,19e juni 2055,DATE_OF_BIRTH,37653
410.0,421.0,"[52.9, 4.7]",LOCATION,37653
130.0,139.0,N'guessan,PERSON_NAME,46824
141.0,155.0,V2001747377437,PERSON_NAME,46824
176.0,190.0,V2001747377437,PERSON_NAME,46824
333.0,337.0,Dule,PERSON_NAME,46824
339.0,342.0,EYM,PERSON_NAME,46824
34.0,51.0,3e september 1980,DATE_OF_BIRTH,40942
330.0,340.0,16/09/1935,DATE_OF_BIRTH,40942
14.0,30.0,+70-445-479-4049,PHONE_NUMBER,39620
93.0,102.0,791504673,US_SOCIAL_SECURITY_NUMBER,39620
124.0,135.0,098 0862318,PHONE_NUMBER,39620
192.0,201.0,852048721,US_SOCIAL_SECURITY_NUMBER,39620
223.0,235.0,02987-017927,PHONE_NUMBER,39620
296.0,305.0,919098107,US_SOCIAL_SECURITY_NUMBER,39620
327.0,344.0,+155.083.122.2199,PHONE_NUMBER,39620
400.0,409.0,505073441,US_SOCIAL_SECURITY_NUMBER,39620
431.0,447.0,+536-64.961-4301,PHONE_NUMBER,39620
16.0,25.0,454715962,PERSON_NAME,47376
95.0,104.0,861033370,PERSON_NAME,47376
172.0,181.0,657829796,PERSON_NAME,47376
276.0,285.0,581495275,PERSON_NAME,47376
357.0,377.0,2-73-06-57119-281-88,PERSON_NAME,47376
382.0,392.0,09/02/1996,DATE_OF_BIRTH,56452
406.0,418.0,Dr. Paolisso,PERSON_NAME,56452
428.0,436.0,Aljassem,PERSON_NAME,56452
101.0,109.0,Zerabruk,PERSON_NAME,38448
154.0,160.0,Leibig,PERSON_NAME,38448
309.0,314.0,Fojan,PERSON_NAME,38448
359.0,371.0,Schmollinger,PERSON_NAME,38448
416.0,426.0,Ottersberg,PERSON_NAME,38448
53.0,63.0,Chrislaine,PERSON_NAME,40751
249.0,255.0,5S0MTU,PERSON_NAME,40751
418.0,424.0,196919,PERSON_NAME,39992
54.0,64.0,22/12/1988,DATE_OF_BIRTH,43792
110.0,121.0,augustus/69,DATE_OF_BIRTH,43792
167.0,183.0,4e november 1989,DATE_OF_BIRTH,43792
231.0,250.0,1970-10-01T00:00:00,DATE_OF_BIRTH,43792
358.0,377.0,1970-10-01T00:00:00,DATE_OF_BIRTH,43792
298.0,308.0,08/09/1999,DATE_OF_BIRTH,43792
358.0,377.0,1956-11-05T00:00:00,DATE_OF_BIRTH,43792
213.0,227.0,"juli 11e, 1995",DATE_OF_BIRTH,41980
333.0,343.0,Q75U2C7LDN,PERSON_NAME,41980
359.0,372.0,68.19.239.142,PERSON_NAME,41980
7.0,15.0,Ravithas,PERSON_NAME,56660
57.0,64.0,Argyris,PERSON_NAME,56660
66.0,71.0,Lorid,PERSON_NAME,56660
113.0,118.0,Shane,PERSON_NAME,56660
120.0,124.0,Vega,PERSON_NAME,56660
165.0,174.0,Kuriakose,PERSON_NAME,56660
215.0,220.0,Demba,PERSON_NAME,56660
261.0,267.0,Gazali,PERSON_NAME,56660
57.0,66.0,179889790,PHONE_NUMBER,35509
124.0,136.0,178 339 8352,PHONE_NUMBER,35509
194.0,203.0,257538134,PHONE_NUMBER,35509
13.0,30.0,0018-056-154 5155,PHONE_NUMBER,49857
153.0,167.0,+77.90205.7105,PHONE_NUMBER,49857
268.0,285.0,+574 436 826 8709,PHONE_NUMBER,49857
415.0,432.0,+173.645.705 0509,PHONE_NUMBER,49857
19.0,28.0,964709108,US_SOCIAL_SECURITY_NUMBER,41358
101.0,110.0,679664887,US_SOCIAL_SECURITY_NUMBER,41358
183.0,192.0,482829205,US_SOCIAL_SECURITY_NUMBER,41358
265.0,274.0,266942090,US_SOCIAL_SECURITY_NUMBER,41358
347.0,368.0,Jak-Nan-16-I-31-3-QBE,US_SOCIAL_SECURITY_NUMBER,41358
448.0,457.0,447984550,US_SOCIAL_SECURITY_NUMBER,41358
169.0,175.0,Rafiou,PERSON_NAME,41843
192.0,205.0,Vimalananthan,PERSON_NAME,41843
74.0,105.0,J5 FRA 88NP4935 0 170426 MERSEL,PERSON_NAME,49162
120.0,173.0,"Chemin des Crouzets au Gazy, 718, 48230 - Chanac, OCC",STREET_ADDRESS,49162
456.0,475.0,2030-09-28T00:00:00,DATE_OF_BIRTH,49162
29.0,34.0,Druga,PERSON_NAME,31098
49.0,54.0,Druga,PERSON_NAME,31098
479.0,488.0,Lipperini,PERSON_NAME,31098
61.0,71.0,Jacquiline,PERSON_NAME,53843
109.0,118.0,Lastname1,PERSON_NAME,53843
120.0,129.0,Lastname1,PERSON_NAME,53843
160.0,169.0,319746671,US_SOCIAL_SECURITY_NUMBER,53843
317.0,331.0,12e april 2002,DATE_OF_BIRTH,53843
95.0,100.0,Sutka,PERSON_NAME,35119
138.0,155.0,"januari 22e, 2000",DATE_OF_BIRTH,35119
233.0,246.0,37concha.siep,PERSON_NAME,35119
262.0,268.0,Concha,PERSON_NAME,35119
307.0,318.0,qruhsat5431,PERSON_NAME,35119
335.0,341.0,Aljosa,PERSON_NAME,35119
345.0,350.0,Ylian,PERSON_NAME,35119
389.0,403.0,gztfycnknkmmwd,PERSON_NAME,35119
60.0,92.0,j.vdberg@healthcarenederland.com,EMAIL_ADDRESS,54019
13.0,38.0,Dr. Johannes van der Berg,PERSON_NAME,54019
127.0,137.0,2022-03-15,DATE_OF_BIRTH,54019
154.0,164.0,2023-09-30,DATE_OF_BIRTH,54019
185.0,208.0,"Diepenheim, Netherlands",LOCATION,54019
52.0,68.0,28felipe@aol.com,EMAIL_ADDRESS,41341
215.0,230.0,R1939@yahoo.com,EMAIL_ADDRESS,41341
373.0,388.0,P15@outlook.com,EMAIL_ADDRESS,41341
74.0,83.0,851426718,PHONE_NUMBER,41341
394.0,403.0,890784986,PHONE_NUMBER,41341
52.0,60.0,Yogendra,PERSON_NAME,57118
81.0,86.0,Fanol,PERSON_NAME,57118
282.0,287.0,Nelum,PERSON_NAME,57118
474.0,478.0,Kimi,PERSON_NAME,57118
499.0,504.0,Iklim,PERSON_NAME,57118
67.0,76.0,954949445,US_SOCIAL_SECURITY_NUMBER,45097
150.0,159.0,441944605,US_SOCIAL_SECURITY_NUMBER,45097
229.0,238.0,097289900,US_SOCIAL_SECURITY_NUMBER,45097
307.0,316.0,788029215,US_SOCIAL_SECURITY_NUMBER,45097
384.0,388.0,179-,US_SOCIAL_SECURITY_NUMBER,45097
34.0,44.0,27/09/2022,DATE_OF_BIRTH,47341
112.0,116.0,1zQ2,PERSON_NAME,47341
136.0,146.0,2616246789,PERSON_NAME,47341
171.0,247.0,"Straat Località Nuraghe Livanor, Stad Seneghe, Staat Sardegna, Postcode 9070",STREET_ADDRESS,47341
266.0,287.0,Ruo Abb 24 H 67 3 PWX,PERSON_NAME,47341
300.0,315.0,244.157.169.179,PERSON_NAME,47341
362.0,394.0,H4.FRA.90WO8617.2.510614.GRIGORE,PERSON_NAME,47341
430.0,469.0,"Route de Lagarde, Saint-Jean-Lherm",STREET_ADDRESS,47341
69.0,79.0,20-12-2022,DATE_OF_BIRTH,54509
106.0,116.0,Etten-Leur,LOCATION,54509
159.0,162.0,Min,PERSON_NAME,48021
183.0,193.0,10/06/1999,DATE_OF_BIRTH,48021
271.0,284.0,0102-22081418,PHONE_NUMBER,48021
400.0,403.0,Grv,PERSON_NAME,48021
19.0,34.0,+20 92 879-7796,PHONE_NUMBER,53060
148.0,153.0,Milva,PERSON_NAME,53060
177.0,182.0,Léana,PERSON_NAME,53060
226.0,245.0,2035-09-27T00:00:00,DATE_OF_BIRTH,53060
276.0,287.0,Netherlands,LOCATION,53060
58.0,67.0,742243118,US_SOCIAL_SECURITY_NUMBER,56210
155.0,172.0,07-19-11-59-S20-2,US_SOCIAL_SECURITY_NUMBER,56210
259.0,268.0,568300316,US_SOCIAL_SECURITY_NUMBER,56210
339.0,348.0,008579692,US_SOCIAL_SECURITY_NUMBER,56210
21.0,31.0,qggkkiju84,PERSON_NAME,56210
108.0,128.0,cabdulkadir.sandfort,PERSON_NAME,56210
220.0,232.0,1979arbolaez,PERSON_NAME,56210
309.0,312.0,16C,PERSON_NAME,56210
389.0,397.0,26ljeutr,PERSON_NAME,56210
13.0,20.0,Waranya,PERSON_NAME,49820
65.0,74.0,Liv-Marie,PERSON_NAME,49820
93.0,103.0,Albachiara,PERSON_NAME,49820
148.0,152.0,Raja,PERSON_NAME,49820
197.0,201.0,Sada,PERSON_NAME,49820
252.0,259.0,Namgyel,PERSON_NAME,49820
278.0,294.0,Nicolae-Cristian,PERSON_NAME,49820
12.0,29.0,+319.575-653 6560,PHONE_NUMBER,43525
66.0,81.0,+31.78-413-4517,PHONE_NUMBER,43525
122.0,139.0,+317.897 252.7371,PHONE_NUMBER,43525
178.0,193.0,+09-45.647-4391,PHONE_NUMBER,43525
230.0,243.0,+4304852 2156,PHONE_NUMBER,43525
284.0,300.0,0131.20 192-2451,PHONE_NUMBER,43525
366.0,380.0,0148 696381783,PHONE_NUMBER,43525
400.0,402.0,NH,LOCATION,52304
48.0,60.0,088 416-1654,PHONE_NUMBER,51284
151.0,164.0,+5456224 3285,PHONE_NUMBER,51284
253.0,266.0,0511-47557921,PHONE_NUMBER,51284
359.0,374.0,+36-49.570-2356,PHONE_NUMBER,51284
467.0,480.0,0432.80328811,PHONE_NUMBER,51284
347.0,357.0,januari/94,DATE_OF_BIRTH,32840
396.0,399.0,481,STREET_ADDRESS,32840
418.0,426.0,Golfoord,STREET_ADDRESS,32840
443.0,452.0,Purmerend,LOCATION,32840
0.0,13.0,.460.605 2677,PHONE_NUMBER,31335
189.0,192.0,Kon,PERSON_NAME,31335
209.0,212.0,Kon,PERSON_NAME,31335
218.0,228.0,03/03/1998,DATE_OF_BIRTH,31335
234.0,249.0,E-B03@gmail.com,EMAIL_ADDRESS,31335
255.0,266.0,404-07-6210,PHONE_NUMBER,31335
291.0,306.0,+83 61 181.3216,PHONE_NUMBER,31335
312.0,328.0,Verenigde Staten,LOCATION,31335
342.0,358.0,West Jaguar Lane,STREET_ADDRESS,31335
364.0,370.0,Marana,LOCATION,31335
376.0,378.0,AZ,LOCATION,31335
384.0,389.0,85653,LOCATION,31335
139.0,152.0,74haru.vanyek,PERSON_NAME,52850
218.0,224.0,Vanyek,PERSON_NAME,52850
255.0,259.0,Gers,PERSON_NAME,52850
454.0,465.0,BUILDING_BG,LOCATION,52850
37.0,49.0,03716.972061,PHONE_NUMBER,40841
119.0,133.0,+3186.644 3861,PHONE_NUMBER,40841
194.0,206.0,07291 183436,PHONE_NUMBER,40841
284.0,300.0,+90 670 234 6938,PHONE_NUMBER,40841
314.0,328.0,21e april 1967,DATE_OF_BIRTH,40841
193.0,200.0,Caruolo,PERSON_NAME,51787
219.0,229.0,28/12/1968,DATE_OF_BIRTH,51787
253.0,269.0,756.6092.9408.23,US_SOCIAL_SECURITY_NUMBER,51787
289.0,299.0,6439838991,PHONE_NUMBER,51787
318.0,326.0,U5649628,PERSON_NAME,51787
335.0,337.0,CH,LOCATION,51787
347.0,375.0,Chemin de la Grange-des-Bois,STREET_ADDRESS,51787
391.0,394.0,164,STREET_ADDRESS,51787
407.0,411.0,1553,STREET_ADDRESS,51787
422.0,432.0,Châtonnaye,LOCATION,51787
3.0,17.0,+82-48726-7171,PHONE_NUMBER,40267
23.0,32.0,608169408,US_SOCIAL_SECURITY_NUMBER,46805
64.0,77.0,+31-970415908,PHONE_NUMBER,46805
120.0,131.0,Waterigeweg,STREET_ADDRESS,46805
140.0,145.0,Zeist,LOCATION,46805
219.0,228.0,Shitikova,PERSON_NAME,46805
173.0,182.0,Bgm Fryer,PERSON_NAME,47507
290.0,307.0,56.28.03.70.F70.2,US_SOCIAL_SECURITY_NUMBER,47507
344.0,356.0,S033GSMW0HU9,PERSON_NAME,47507
383.0,395.0,00.3855.3654,PHONE_NUMBER,47507
4.0,15.0,San Jacinto,LOCATION,47507
86.0,91.0,92583,LOCATION,47507
0.0,8.0,nzoniere,PERSON_NAME,48717
142.0,152.0,Bgm Mirgen,PERSON_NAME,48717
223.0,259.0,Bgm Schneider-Lehmann Funez Heckrath,PERSON_NAME,48717
32.0,50.0,"november 23e, 2045",DATE_OF_BIRTH,48717
283.0,301.0,"november 23e, 2045",DATE_OF_BIRTH,48717
99.0,109.0,18/06/1960,DATE_OF_BIRTH,44603
205.0,213.0,maart/90,DATE_OF_BIRTH,44603
304.0,314.0,02/08/1957,DATE_OF_BIRTH,44603
399.0,416.0,"oktober 31e, 1973",DATE_OF_BIRTH,44603
155.0,165.0,Laagstraat,STREET_ADDRESS,31011
189.0,196.0,Ell Ell,LOCATION,31011
221.0,228.0,Limburg,LOCATION,31011
256.0,260.0,6011,STREET_ADDRESS,31011
344.0,350.0,Almere,LOCATION,47223
40.0,53.0,5e maart 1959,DATE_OF_BIRTH,34001
157.0,167.0,30/12/1987,DATE_OF_BIRTH,34001
277.0,287.0,14/03/1992,DATE_OF_BIRTH,34001
277.0,290.0,armida.fregja,PERSON_NAME,36705
304.0,317.0,armida.fregja,PERSON_NAME,36705
304.0,329.0,armida.fregja@hotmail.com,EMAIL_ADDRESS,36705
263.0,272.0,32BV67680,PERSON_NAME,32961
347.0,366.0,5559785240431526356,CREDIT_CARD_NUMBER,32961
179.0,185.0,Safwan,PERSON_NAME,54261
207.0,209.0,DF,PERSON_NAME,54261
305.0,311.0,Iapara,PERSON_NAME,54261
338.0,345.0,Segreto,PERSON_NAME,54261
265.0,267.0,AM,PERSON_NAME,54261
407.0,409.0,XO,PERSON_NAME,54261
122.0,132.0,12/02/1939,DATE_OF_BIRTH,44229
152.0,159.0,Phairin,PERSON_NAME,44229
319.0,334.0,"Dyami, Baltasar",PERSON_NAME,44229
282.0,298.0,12e oktober 1984,DATE_OF_BIRTH,44229
17.0,46.0,bertan.paskuwal1961@yahoo.com,EMAIL_ADDRESS,39860
102.0,127.0,Bar Brianne Frankenreiter,PERSON_NAME,39860
169.0,198.0,1frankenreiter@protonmail.com,EMAIL_ADDRESS,39860
248.0,266.0,20e september 2015,DATE_OF_BIRTH,39860
280.0,289.0,Nederland,LOCATION,39860
76.0,90.0,Esaïe Baksteen,PERSON_NAME,49382
114.0,146.0,"Amstelveen, 1181 MJ, Netherlands",LOCATION,49382
177.0,191.0,"juni 30e, 2062",DATE_OF_BIRTH,49382
135.0,164.0,Alphen aan den Rijn Oudshoorn,LOCATION,54596
314.0,337.0,gasparis@protonmail.com,EMAIL_ADDRESS,50588
83.0,95.0,Middelharnis,LOCATION,50588
96.0,108.0,Middelharnis,LOCATION,50588
46.0,61.0,Delta Boulevard,STREET_ADDRESS,50588
64.0,74.0,zY'.F4hIx@,EMAIL_ADDRESS,54844
481.0,488.0,52.0885,LOCATION,54844
490.0,494.0,4.22,LOCATION,54844
16.0,66.0,"482, Vlietweg, Kaag en Braassem Hoogmade, ZH, 2355",STREET_ADDRESS,48572
374.0,393.0,Nijmegen Hunnerberg,LOCATION,48572
417.0,424.0,Kremena,PERSON_NAME,45041
414.0,425.0,Netherlands,LOCATION,57516
0.0,20.0,8-1-040312-NEPHTALIE,US_SOCIAL_SECURITY_NUMBER,40164
52.0,61.0,cevin1957,PERSON_NAME,54836
81.0,94.0,28e juni 1957,DATE_OF_BIRTH,54836
97.0,104.0,Abbassy,LOCATION,54836
126.0,135.0,964880150,PHONE_NUMBER,54836
205.0,210.0,1962G,PERSON_NAME,54836
236.0,241.0,1962G,PERSON_NAME,54836
230.0,240.0,12/07/1962,DATE_OF_BIRTH,54836
243.0,251.0,Gayretli,LOCATION,54836
271.0,280.0,644388217,PHONE_NUMBER,54836
28.0,39.0,Mrs Annabel,PERSON_NAME,31831
57.0,78.0,"Kerkplein 45, Utrecht",STREET_ADDRESS,31831
111.0,124.0,bob@email.com,EMAIL_ADDRESS,31831
141.0,153.0,+31987654321,PHONE_NUMBER,31831
182.0,201.0,1965-05-28T00:00:00,DATE_OF_BIRTH,31831
234.0,243.0,750621789,US_SOCIAL_SECURITY_NUMBER,31831
167.0,176.0,554400085,PERSON_NAME,53965
