sample_idx,start,end,value,type
38922,369.0,386.0,30e december 2015,DATE_OF_BIRTH
51986,26.0,36.0,28/08/1972,DATE_OF_BIRTH
51986,103.0,118.0,"maart 18e, 1985",DATE_OF_BIRTH
51986,190.0,209.0,1961-09-13T00:00:00,DATE_OF_BIRTH
51986,277.0,290.0,"juni 5e, 1934",DATE_OF_BIRTH
56114,105.0,117.0,08117-379894,PHONE_NUMBER
56114,148.0,164.0,0012 88.746.2536,PHONE_NUMBER
34365,53.0,64.0,december/03,DATE_OF_BIRTH
34365,106.0,117.0,december/03,DATE_OF_BIRTH
34365,151.0,175.0,soukcraciunesc@yahoo.com,EMAIL_ADDRESS
34365,213.0,216.0,AAH,LOCATION
34365,260.0,279.0,1982-03-08T00:00:00,DATE_OF_BIRTH
34365,321.0,340.0,1982-03-08T00:00:00,DATE_OF_BIRTH
34365,374.0,403.0,tkcwncakccuqbws161951@aol.com,EMAIL_ADDRESS
34365,441.0,444.0,HZE,LOCATION
58284,140.0,156.0,04AJGG@gmail.com,EMAIL_ADDRESS
58284,215.0,247.0,"126, Voldijkje, Goirle, NB, 5053",STREET_ADDRESS
58284,270.0,278.0,Dorm 568,LOCATION
58284,179.0,188.0,6RPB83IGO,US_SOCIAL_SECURITY_NUMBER
58284,200.0,202.0,NL,LOCATION
30004,243.0,248.0,Henny,PERSON_NAME
32487,48.0,60.0,Kassim Troia,PERSON_NAME
32487,81.0,91.0,23/07/1966,DATE_OF_BIRTH
32487,406.0,416.0,23/07/1966,DATE_OF_BIRTH
32487,105.0,130.0,aviral.kassim@outlook.com,EMAIL_ADDRESS
32487,157.0,177.0,2.66.07.07009.747.79,US_SOCIAL_SECURITY_NUMBER
32487,194.0,224.0,O5 FRA 34WQ6143 5 700523 AMDIN,LOCATION
32487,246.0,255.0,65AA74997,LOCATION
32487,277.0,294.0,+759.624-156.2360,PHONE_NUMBER
32487,310.0,349.0,cb2d:4996:f5a8:c7a6:df56:19b3:7d13:31c6,LOCATION
32487,362.0,368.0,Xhemaj,PERSON_NAME
32487,406.0,416.0,23/04/1971,DATE_OF_BIRTH
32487,430.0,445.0,SX@tutanota.com,EMAIL_ADDRESS
32487,472.0,481.0,266003377,US_SOCIAL_SECURITY_NUMBER
32384,62.0,78.0,756.0988.8585.40,US_SOCIAL_SECURITY_NUMBER
32384,96.0,104.0,J8229188,PERSON_NAME
45675,351.0,360.0,Koudinova,PERSON_NAME
45675,381.0,385.0,1944,DATE_OF_BIRTH
45675,297.0,307.0,06/09/1987,DATE_OF_BIRTH
41306,94.0,111.0,ezguhaxkwuisju258,USERNAME
41306,197.0,218.0,selvedina.el-gahawy94,USERNAME
41306,331.0,341.0,ncharbon16,USERNAME
48191,355.0,376.0,albieraquet@yahoo.com,EMAIL_ADDRESS
48191,210.0,217.0,Sharany,PERSON_NAME
48191,280.0,288.0,raquet30,PERSON_NAME
48191,360.0,368.0,raquet30,PERSON_NAME
36625,311.0,319.0,Waltraut,PERSON_NAME
36625,187.0,194.0,2211 XX,POSTAL_CODE
36625,109.0,140.0,Noordwijkerhout Noordwijkerhout,LOCATION
36625,374.0,393.0,2022-01-22T00:00:00,DATE
55626,304.0,314.0,02/12/2002,DATE_OF_BIRTH
55626,286.0,299.0,"[52.526, 4.9]",LOCATION
52079,177.0,186.0,Stefanija,PERSON_NAME
52079,243.0,261.0,"augustus 23e, 1995",DATE_OF_BIRTH
52079,325.0,334.0,479151095,US_SOCIAL_SECURITY_NUMBER
53269,438.0,451.0,"juni 6e, 2057",DATE_OF_BIRTH
43835,24.0,43.0,21lendi@hotmail.com,EMAIL_ADDRESS
43835,132.0,151.0,21lendi@hotmail.com,EMAIL_ADDRESS
43835,45.0,54.0,255909650,PHONE_NUMBER
43835,153.0,162.0,255909650,PHONE_NUMBER
43835,56.0,66.0,KRI20II6NJ,US_SOCIAL_SECURITY_NUMBER
43835,164.0,174.0,KRI20II6NJ,US_SOCIAL_SECURITY_NUMBER
43835,72.0,89.0,00310.93.007 0129,PHONE_NUMBER
43835,180.0,197.0,00310.93.007 0129,PHONE_NUMBER
43835,217.0,230.0,B@outlook.com,EMAIL_ADDRESS
43835,313.0,326.0,B@outlook.com,EMAIL_ADDRESS
43835,232.0,252.0,2.73.10.99571.629.99,PHONE_NUMBER
43835,266.0,279.0,A@hotmail.com,EMAIL_ADDRESS
43835,281.0,290.0,013937562,PHONE_NUMBER
43835,292.0,326.0,LU...peqypfhjihyju7389@outlook.com,EMAIL_ADDRESS
43835,328.0,337.0,205935813,PHONE_NUMBER
43835,339.0,371.0,FX...66cuncouillaud@tutanota.com,EMAIL_ADDRESS
43835,373.0,382.0,369433269,PHONE_NUMBER
42256,334.0,349.0,+31828 680 1947,PHONE_NUMBER
42256,217.0,235.0,Min Moiseeva Cejas,PERSON_NAME
42256,148.0,171.0,"Kantershof, Netherlands",LOCATION
42340,110.0,117.0,Ruiyuan,PERSON_NAME
42340,120.0,132.0,Isabel-Maria,PERSON_NAME
47345,14.0,18.0,4522,LOCATION
47345,35.0,45.0,Castle 294,STREET_ADDRESS
47345,77.0,87.0,CLZTR0H1K9,LOCATION
47345,100.0,102.0,NL,LOCATION
47345,119.0,131.0,Vuursteenweg,STREET_ADDRESS
47345,138.0,149.0,Swifterbant,LOCATION
47345,157.0,166.0,Flevoland,LOCATION
47345,177.0,181.0,8255,LOCATION
47345,213.0,221.0,BMREF2ER,LOCATION
47345,234.0,243.0,Nederland,LOCATION
47345,387.0,396.0,Nederland,LOCATION
47345,260.0,269.0,Vlietdijk,STREET_ADDRESS
47345,276.0,297.0,Dinteloord Dinteloord,LOCATION
47345,305.0,318.0,Noord-Brabant,LOCATION
47345,329.0,333.0,4671,LOCATION
47345,365.0,374.0,NWMH7W6BT,LOCATION
47345,413.0,420.0,Botshol,STREET_ADDRESS
47345,427.0,434.0,Abcoude,LOCATION
47345,442.0,449.0,Utrecht,LOCATION
47345,460.0,464.0,1391,LOCATION
44130,83.0,97.0,DN@outlook.com,EMAIL_ADDRESS
44130,150.0,161.0,M@yahoo.com,EMAIL_ADDRESS
44130,239.0,262.0,siiljina@protonmail.com,EMAIL_ADDRESS
44130,313.0,327.0,O@tutanota.com,EMAIL_ADDRESS
45002,53.0,59.0,Ayeche,PERSON_NAME
45002,98.0,104.0,Ayeche,PERSON_NAME
45002,75.0,76.0,M,PERSON_NAME
45002,98.0,104.0,ayeche,PERSON_NAME
45002,126.0,129.0,PJJ,US_SOCIAL_SECURITY_NUMBER
45002,152.0,162.0,IQTJJ6FZI6,US_SOCIAL_SECURITY_NUMBER
45002,184.0,186.0,UV,US_SOCIAL_SECURITY_NUMBER
45002,198.0,200.0,NL,LOCATION
45002,220.0,223.0,477,STREET_ADDRESS
45002,237.0,248.0,Draepkilweg,STREET_ADDRESS
45002,260.0,279.0,Werkendam Werkendam,LOCATION
45002,296.0,309.0,Noord-Brabant,LOCATION
45002,325.0,329.0,4251,STREET_ADDRESS
45002,345.0,359.0,55.118.247.235,LOCATION
43125,408.0,418.0,05/03/1996,DATE_OF_BIRTH
43125,447.0,456.0,130534900,US_SOCIAL_SECURITY_NUMBER
39230,21.0,31.0,28/06/2023,DATE_OF_BIRTH
46736,30.0,41.0,regazzoni97,PERSON_NAME
46736,117.0,128.0,regazzoni97,PERSON_NAME
46736,373.0,384.0,regazzoni97,PERSON_NAME
46736,55.0,58.0,Bgm,PERSON_NAME
46736,153.0,156.0,Bgm,PERSON_NAME
46736,422.0,441.0,13sathiyavani.mahho,PERSON_NAME
53937,48.0,58.0,18/09/2012,DATE_OF_BIRTH
53937,62.0,73.0,Netherlands,LOCATION
36439,201.0,215.0,Davey Sumkoski,PERSON_NAME
36439,309.0,321.0,72LO8OTUTWK2,US_SOCIAL_SECURITY_NUMBER
36439,347.0,349.0,UJ,CREDIT_CARD_NUMBER
37653,9.0,19.0,Parasakthy,PERSON_NAME
37653,33.0,47.0,D0606679868029,LOCATION
37653,57.0,61.0,Eryn,PERSON_NAME
37653,75.0,78.0,SGI,LOCATION
37653,88.0,104.0,Dragos-Alexandru,PERSON_NAME
37653,120.0,125.0,Osama,PERSON_NAME
37653,139.0,142.0,CXO,LOCATION
37653,152.0,157.0,Fiola,PERSON_NAME
37653,171.0,185.0,X0906871065242,LOCATION
37653,195.0,201.0,Siilen,PERSON_NAME
37653,215.0,218.0,KMH,LOCATION
37653,228.0,234.0,Haveen,PERSON_NAME
37653,248.0,251.0,XSQ,LOCATION
37653,261.0,266.0,Dicki,PERSON_NAME
37653,429.0,442.0,19e juni 2055,DATE_OF_BIRTH
37653,411.0,420.0,"52.9, 4.7",LOCATION
46824,141.0,155.0,V2001747377437,US_SOCIAL_SECURITY_NUMBER
46824,176.0,190.0,V2001747377437,US_SOCIAL_SECURITY_NUMBER
46824,339.0,342.0,EYM,US_SOCIAL_SECURITY_NUMBER
40942,34.0,51.0,3e september 1980,DATE_OF_BIRTH
40942,330.0,340.0,16/09/1935,DATE_OF_BIRTH
39620,14.0,30.0,+70-445-479-4049,PHONE_NUMBER
39620,51.0,66.0,6zlatuse.elsawy,PERSON_NAME
39620,93.0,102.0,791504673,US_SOCIAL_SECURITY_NUMBER
39620,124.0,135.0,098 0862318,PHONE_NUMBER
39620,157.0,165.0,16shaçir,PERSON_NAME
39620,192.0,201.0,852048721,US_SOCIAL_SECURITY_NUMBER
39620,223.0,235.0,02987-017927,PHONE_NUMBER
39620,256.0,269.0,1976esfandiar,PERSON_NAME
39620,296.0,305.0,919098107,US_SOCIAL_SECURITY_NUMBER
39620,327.0,344.0,+155.083.122.2199,PHONE_NUMBER
39620,365.0,373.0,soffiati,PERSON_NAME
39620,400.0,409.0,505073441,US_SOCIAL_SECURITY_NUMBER
39620,431.0,447.0,+536-64.961-4301,PHONE_NUMBER
39620,468.0,475.0,72alkis,PERSON_NAME
47376,16.0,25.0,454715962,PHONE_NUMBER
47376,45.0,53.0,NAAM13_M,PERSON_NAME
47376,124.0,132.0,NAAM13_M,PERSON_NAME
47376,201.0,209.0,NAAM13_M,PERSON_NAME
47376,305.0,313.0,NAAM13_M,PERSON_NAME
47376,95.0,104.0,861033370,PHONE_NUMBER
47376,124.0,132.0,NAAM14_N,PERSON_NAME
47376,201.0,209.0,NAAM14_N,PERSON_NAME
47376,305.0,313.0,NAAM14_N,PERSON_NAME
47376,172.0,181.0,657829796,PHONE_NUMBER
47376,201.0,209.0,NAAM15_O,PERSON_NAME
47376,305.0,313.0,NAAM15_O,PERSON_NAME
47376,276.0,285.0,581495275,PHONE_NUMBER
47376,305.0,313.0,NAAM16_P,PERSON_NAME
47376,357.0,377.0,2-73-06-57119-281-88,PHONE_NUMBER
56452,382.0,392.0,09/02/1996,DATE_OF_BIRTH
56452,406.0,418.0,Dr. Paolisso,PERSON_NAME
56452,428.0,436.0,Aljassem,PERSON_NAME
38448,101.0,109.0,Zerabruk,PERSON_NAME
38448,154.0,160.0,Leibig,PERSON_NAME
38448,309.0,314.0,Fojan,PERSON_NAME
38448,359.0,371.0,Schmollinger,PERSON_NAME
38448,416.0,426.0,Ottersberg,PERSON_NAME
40751,53.0,63.0,Chrislaine,PERSON_NAME
40751,190.0,210.0,epdkotmgfzfsnqd36355,USERNAME
40751,249.0,255.0,5S0MTU,LOCATION
40751,288.0,301.0,231.149.236.5,IP
39992,418.0,424.0,196919,PERSON_NAME
43792,54.0,64.0,22/12/1988,DATE_OF_BIRTH
43792,110.0,121.0,augustus/69,DATE_OF_BIRTH
43792,167.0,183.0,4e november 1989,DATE_OF_BIRTH
43792,231.0,250.0,1970-10-01T00:00:00,DATE_OF_BIRTH
43792,358.0,377.0,1970-10-01T00:00:00,DATE_OF_BIRTH
43792,298.0,308.0,08/09/1999,DATE_OF_BIRTH
43792,358.0,377.0,1956-11-05T00:00:00,DATE_OF_BIRTH
41980,213.0,227.0,"juli 11e, 1995",DATE_OF_BIRTH
41980,249.0,253.0,2:06,DATE_OF_BIRTH
41980,313.0,316.0,GCH,US_SOCIAL_SECURITY_NUMBER
41980,333.0,343.0,Q75U2C7LDN,US_SOCIAL_SECURITY_NUMBER
41980,359.0,372.0,68.19.239.142,LOCATION
56660,7.0,15.0,Ravithas,PERSON_NAME
56660,57.0,64.0,Argyris,PERSON_NAME
56660,66.0,71.0,Lorid,PERSON_NAME
56660,113.0,118.0,Shane,PERSON_NAME
56660,120.0,124.0,Vega,PERSON_NAME
56660,165.0,174.0,Kuriakose,PERSON_NAME
56660,215.0,220.0,Demba,PERSON_NAME
56660,261.0,267.0,Gazali,PERSON_NAME
56660,309.0,314.0,20:09,DATE_OF_BIRTH
35509,57.0,66.0,179889790,PHONE_NUMBER
35509,124.0,136.0,178 339 8352,PHONE_NUMBER
49857,13.0,30.0,0018-056-154 5155,PHONE_NUMBER
49857,153.0,167.0,+77.90205.7105,PHONE_NUMBER
49857,268.0,285.0,+574 436 826 8709,PHONE_NUMBER
49857,415.0,432.0,+173.645.705 0509,PHONE_NUMBER
32530,55.0,81.0,Universiteit van Amsterdam,LOCATION
32530,371.0,397.0,Universiteit van Amsterdam,LOCATION
32530,72.0,81.0,Amsterdam,LOCATION
32530,388.0,397.0,Amsterdam,LOCATION
32530,399.0,408.0,Amsterdam,LOCATION
32530,410.0,419.0,Nederland,LOCATION
41358,19.0,28.0,964709108,US_SOCIAL_SECURITY_NUMBER
41358,101.0,110.0,679664887,US_SOCIAL_SECURITY_NUMBER
41358,183.0,192.0,482829205,US_SOCIAL_SECURITY_NUMBER
41358,265.0,274.0,266942090,US_SOCIAL_SECURITY_NUMBER
41358,448.0,457.0,447984550,US_SOCIAL_SECURITY_NUMBER
49162,12.0,21.0,Floor 599,LOCATION
49162,74.0,105.0,J5 FRA 88NP4935 0 170426 MERSEL,US_SOCIAL_SECURITY_NUMBER
49162,120.0,173.0,"Chemin des Crouzets au Gazy, 718, 48230 - Chanac, OCC",STREET_ADDRESS
49162,456.0,466.0,2030-09-28,DATE_OF_BIRTH
53843,61.0,71.0,Jacquiline,PERSON_NAME
53843,109.0,118.0,Lastname1,PERSON_NAME
53843,120.0,129.0,Lastname1,PERSON_NAME
53843,160.0,169.0,319746671,US_SOCIAL_SECURITY_NUMBER
53843,317.0,331.0,12e april 2002,DATE_OF_BIRTH
35119,95.0,100.0,Sutka,PERSON_NAME
35119,138.0,155.0,"januari 22e, 2000",DATE_OF_BIRTH
35119,233.0,246.0,37concha.siep,PERSON_NAME
35119,262.0,268.0,Concha,PERSON_NAME
35119,307.0,318.0,qruhsat5431,PERSON_NAME
35119,335.0,350.0,Aljosa en Ylian,PERSON_NAME
54019,13.0,38.0,Dr. Johannes van der Berg,PERSON_NAME
54019,60.0,92.0,j.vdberg@healthcarenederland.com,EMAIL_ADDRESS
54019,127.0,137.0,2022-03-15,DATE_OF_BIRTH
54019,154.0,164.0,2023-09-30,DATE_OF_BIRTH
54019,185.0,208.0,"Diepenheim, Netherlands",LOCATION
41341,52.0,68.0,28felipe@aol.com,EMAIL_ADDRESS
41341,74.0,83.0,851426718,PHONE_NUMBER
41341,215.0,230.0,R1939@yahoo.com,EMAIL_ADDRESS
41341,236.0,238.0,FT,PHONE_NUMBER
41341,373.0,388.0,P15@outlook.com,EMAIL_ADDRESS
41341,394.0,403.0,890784986,PHONE_NUMBER
57118,17.0,31.0,fanol.o'mara87,USERNAME
57118,52.0,60.0,Yogendra,PERSON_NAME
57118,81.0,86.0,Fanol,PERSON_NAME
57118,240.0,261.0,guillaud-bataille1994,USERNAME
57118,282.0,287.0,Nelum,PERSON_NAME
57118,441.0,453.0,bwzlzfpylm54,USERNAME
57118,474.0,478.0,Kimi,PERSON_NAME
57118,499.0,504.0,Iklim,PERSON_NAME
45097,67.0,76.0,954949445,US_SOCIAL_SECURITY_NUMBER
45097,150.0,159.0,441944605,US_SOCIAL_SECURITY_NUMBER
45097,229.0,238.0,097289900,US_SOCIAL_SECURITY_NUMBER
45097,307.0,316.0,788029215,US_SOCIAL_SECURITY_NUMBER
45097,384.0,387.0,179,US_SOCIAL_SECURITY_NUMBER
47341,136.0,146.0,2616246789,PHONE_NUMBER
47341,112.0,116.0,1zQ2,US_SOCIAL_SECURITY_NUMBER
47341,300.0,315.0,244.157.169.179,LOCATION
47341,362.0,394.0,H4.FRA.90WO8617.2.510614.GRIGORE,PHONE_NUMBER
54509,106.0,116.0,Etten-Leur,LOCATION
48021,159.0,162.0,Min,PERSON_NAME
48021,183.0,193.0,10/06/1999,DATE_OF_BIRTH
48021,209.0,218.0,P5632293F,LOCATION
48021,240.0,249.0,ZGH098025,LOCATION
48021,271.0,284.0,0102-22081418,PHONE_NUMBER
48021,302.0,313.0,D?n8h*3|dLF,LOCATION
48021,400.0,403.0,Grv,PERSON_NAME
53060,19.0,34.0,+20 92 879-7796,PHONE_NUMBER
53060,148.0,153.0,Milva,PERSON_NAME
53060,177.0,182.0,Léana,PERSON_NAME
53060,226.0,236.0,2035-09-27,DATE_OF_BIRTH
53060,276.0,287.0,Netherlands,LOCATION
56210,21.0,31.0,qggkkiju84,PERSON_NAME
56210,58.0,67.0,742243118,US_SOCIAL_SECURITY_NUMBER
56210,83.0,85.0,ID,US_SOCIAL_SECURITY_NUMBER
56210,108.0,128.0,cabdulkadir.sandfort,PERSON_NAME
56210,155.0,172.0,07-19-11-59-S20-2,US_SOCIAL_SECURITY_NUMBER
56210,188.0,197.0,A85K0978J,US_SOCIAL_SECURITY_NUMBER
56210,220.0,232.0,1979arbolaez,PERSON_NAME
56210,259.0,268.0,568300316,US_SOCIAL_SECURITY_NUMBER
56210,284.0,286.0,ND,US_SOCIAL_SECURITY_NUMBER
56210,309.0,312.0,16C,PERSON_NAME
56210,339.0,348.0,008579692,US_SOCIAL_SECURITY_NUMBER
56210,364.0,366.0,NN,US_SOCIAL_SECURITY_NUMBER
56210,389.0,397.0,26ljeutr,PERSON_NAME
49820,13.0,20.0,Waranya,PERSON_NAME
49820,43.0,46.0,LOM,PERSON_NAME
49820,65.0,74.0,Liv-Marie,PERSON_NAME
49820,93.0,103.0,Albachiara,PERSON_NAME
49820,126.0,129.0,WEX,PERSON_NAME
49820,148.0,152.0,Raja,PERSON_NAME
49820,175.0,178.0,YKA,PERSON_NAME
49820,197.0,201.0,Sada,PERSON_NAME
49820,224.0,233.0,CL4579777,PERSON_NAME
49820,252.0,259.0,Namgyel,PERSON_NAME
49820,278.0,294.0,Nicolae-Cristian,PERSON_NAME
49820,341.0,346.0,08:42,DATE_OF_BIRTH
43525,12.0,29.0,+319.575-653 6560,PHONE_NUMBER
43525,66.0,81.0,+31.78-413-4517,PHONE_NUMBER
43525,122.0,139.0,+317.897 252.7371,PHONE_NUMBER
43525,178.0,193.0,+09-45.647-4391,PHONE_NUMBER
43525,230.0,243.0,+4304852 2156,PHONE_NUMBER
43525,284.0,300.0,0131.20 192-2451,PHONE_NUMBER
43525,366.0,380.0,0148 696381783,PHONE_NUMBER
51284,48.0,60.0,088 416-1654,PHONE_NUMBER
51284,151.0,164.0,+5456224 3285,PHONE_NUMBER
51284,253.0,266.0,0511-47557921,PHONE_NUMBER
51284,359.0,374.0,+36-49.570-2356,PHONE_NUMBER
51284,467.0,480.0,0432.80328811,PHONE_NUMBER
32840,347.0,357.0,januari/94,DATE_OF_BIRTH
32840,396.0,399.0,481,LOCATION
32840,418.0,426.0,Golfoord,STREET_ADDRESS
32840,443.0,452.0,Purmerend,LOCATION
31335,218.0,228.0,03/03/1998,DATE_OF_BIRTH
31335,234.0,249.0,E-B03@gmail.com,EMAIL_ADDRESS
31335,255.0,266.0,404-07-6210,PHONE_NUMBER
31335,312.0,328.0,Verenigde Staten,LOCATION
31335,342.0,358.0,West Jaguar Lane,STREET_ADDRESS
31335,364.0,370.0,Marana,LOCATION
31335,376.0,378.0,AZ,LOCATION
31335,384.0,389.0,85653,LOCATION
52850,139.0,152.0,74haru.vanyek,PERSON_NAME
52850,218.0,224.0,Vanyek,PERSON_NAME
52850,255.0,259.0,Gers,PERSON_NAME
40841,37.0,49.0,03716.972061,PHONE_NUMBER
40841,119.0,133.0,+3186.644 3861,PHONE_NUMBER
40841,194.0,206.0,07291 183436,PHONE_NUMBER
40841,284.0,300.0,+90 670 234 6938,PHONE_NUMBER
40841,314.0,328.0,21e april 1967,DATE_OF_BIRTH
51787,193.0,200.0,Caruolo,PERSON_NAME
51787,219.0,229.0,28/12/1968,DATE_OF_BIRTH
51787,253.0,269.0,756.6092.9408.23,US_SOCIAL_SECURITY_NUMBER
51787,289.0,299.0,6439838991,PHONE_NUMBER
51787,318.0,326.0,U5649628,PASSPORT_NUMBER
51787,335.0,337.0,CH,LOCATION
51787,347.0,375.0,Chemin de la Grange-des-Bois,STREET_ADDRESS
51787,391.0,394.0,164,STREET_ADDRESS
51787,407.0,411.0,1553,LOCATION
51787,422.0,432.0,Châtonnaye,LOCATION
40267,3.0,17.0,+82-48726-7171,PHONE_NUMBER
46805,23.0,32.0,608169408,US_SOCIAL_SECURITY_NUMBER
46805,64.0,77.0,+31-970415908,PHONE_NUMBER
46805,120.0,131.0,Waterigeweg,STREET_ADDRESS
46805,140.0,145.0,Zeist,LOCATION
46805,155.0,157.0,UT,LOCATION
46805,170.0,174.0,3703,LOCATION
46805,219.0,228.0,Shitikova,PERSON_NAME
47507,290.0,307.0,56.28.03.70.F70.2,US_SOCIAL_SECURITY_NUMBER
47507,344.0,356.0,S033GSMW0HU9,LOCATION
47507,383.0,395.0,00.3855.3654,PHONE_NUMBER
48717,0.0,8.0,nzoniere,PERSON_NAME
48717,32.0,50.0,"november 23e, 2045",DATE_OF_BIRTH
48717,283.0,301.0,"november 23e, 2045",DATE_OF_BIRTH
48717,74.0,82.0,03:52:32,LOCATION
48717,325.0,333.0,03:52:32,LOCATION
48717,142.0,152.0,Bgm Mirgen,PERSON_NAME
48717,223.0,259.0,Bgm Schneider-Lehmann Funez Heckrath,PERSON_NAME
44603,99.0,109.0,18/06/1960,DATE_OF_BIRTH
44603,205.0,213.0,maart/90,DATE_OF_BIRTH
44603,304.0,314.0,02/08/1957,DATE_OF_BIRTH
44603,399.0,416.0,"oktober 31e, 1973",DATE_OF_BIRTH
31011,126.0,129.0,319,STREET_ADDRESS
31011,155.0,165.0,Laagstraat,STREET_ADDRESS
31011,189.0,196.0,Ell Ell,LOCATION
31011,221.0,228.0,Limburg,LOCATION
31011,256.0,260.0,6011,STREET_ADDRESS
31011,297.0,308.0,Cottage 665,STREET_ADDRESS
47223,344.0,350.0,Almere,LOCATION
34001,40.0,53.0,5e maart 1959,DATE_OF_BIRTH
34001,157.0,167.0,30/12/1987,DATE_OF_BIRTH
34001,277.0,287.0,14/03/1992,DATE_OF_BIRTH
36705,277.0,290.0,armida.fregja,PERSON_NAME
36705,304.0,317.0,armida.fregja,PERSON_NAME
36705,304.0,329.0,armida.fregja@hotmail.com,EMAIL_ADDRESS
36705,342.0,353.0,0>$FEbX*:Vv,CREDIT_CARD_NUMBER
32961,263.0,272.0,32BV67680,US_SOCIAL_SECURITY_NUMBER
32961,347.0,366.0,5559785240431526356,CREDIT_CARD_NUMBER
54261,179.0,185.0,Safwan,PERSON_NAME
54261,207.0,209.0,DF,CREDIT_CARD_NUMBER
54261,146.0,147.0,1,DATE_OF_BIRTH
54261,225.0,226.0,1,DATE_OF_BIRTH
54261,265.0,267.0,AM,CREDIT_CARD_NUMBER
54261,283.0,287.0,5:30,DATE_OF_BIRTH
